Endurance_meters,Sprint10m_seconds,Flying20m_seconds,Agility_seconds,CMJ_cm,Squat_BW_multiple,StrengthBW_multiple,BodyFat_percent,PlayerPosition,TrainingStatus,FitnessOutput
1524,1.686,3.17,9.699,66.5,1.82,1.3,5.8,GK,Not Completed,Unfit
769,2.203,2.811,9.098,61,1.73,1.39,15.3,GK,Partial,Unfit
1710.1,1.858,2.676,84.14,65.6,1.52,1.44,9.4,MF,Partial,Fit
1291.2,1.738,2.792,9.949,37.8,1.68,1.24,5.2,FW,Not Completed,Unfit
649.3,1.803,3.002,8.848,53.1,1.63,1.74,10.2,MF,Completed,Unfit
1252.5,1.977,2.645,9.414,65.9,1.77,1.28,8.5,FW,Partial,Fit
1134,1.753,2.941,9.511,54.8,1.76,1.26,8.6,DF,Completed,Fit
1196.3,1.938,2.573,11.048,54.1,1.4,1.29,10.5,GK,Not Completed,Unfit
1226.9,1.863,3.214,11.123,65.8,2.32,1.26,10.3,GK,Partial,Unfit
1786.3,1.689,3.027,8.821,57.4,1.78,1.26,144,GK,Completed,Fit
1551.5,1.688,2.996,9.14,61.3,1.28,1.31,11.7,GK,Completed,Unfit
1434.1,2.092,3.02,10.282,43.6,1.31,1.15,16.3,MF,Completed,Unfit
1204.9,1.919,3.119,8.202,61.5,1.11,1.21,5.4,FW,Completed,Unfit
1446.9,1.675,2.701,9.731,45.7,2.05,1.53,6.8,GK,Not Completed,Unfit
1764,2.013,3.183,9.263,41.7,1.51,1.6,12.1,FW,Completed,Unfit
1552.3,1.87,3.03,9.68,70,1.26,1.3,11.9,MF,Partial,Unfit
1502.6,1.731,2.551,9.71,64.8,1.99,1.38,15.5,DF,Completed,Unfit
1083.5,1.863,2.88,9.94,63,2.13,0.99,13.2,MF,Partial,Unfit
1735.3,1.629,2.968,9.351,48.3,1.66,1.38,17.7,FW,Partial,Unfit
1396.2,1.887,2.502,9.472,52.8,1.25,1.84,7.9,GK,Partial,Unfit
1406.8,1.679,3.013,10.207,53.8,1.34,1.32,10.6,FW,Partial,Fit
1475.8,1.599,2.595,9.324,31.3,1.75,1.43,11.8,DF,Partial,Unfit
1428.9,1.981,3.073,8.824,60.1,16.1,1.18,13,FW,Partial,Unfit
1325.2,2.027,2.951,10.031,47.7,2.01,1.19,7.5,DF,Partial,Unfit
1188.8,1.889,3.11,10.018,62.3,1.2,0.93,10.7,MF,Partial,Unfit
1320.2,2.122,3.06,11.39,56,1.63,1.63,11.6,FW,Not Completed,Unfit
1339.5,1.948,2.879,9.392,58.6,1.86,1.3,10.6,MF,Not Completed,Fit
1263.9,1.913,2.565,8.933,54.4,1.78,1.7,9.1,GK,Not Completed,Fit
1292.7,1.922,2.987,9.4,37.2,1.54,1.7,11.6,DF,Partial,Unfit
1548.4,1.956,2.296,10.039,58.7,1.19,1.32,12.8,DF,Completed,Unfit
1593.1,1.837,2.63,8.479,63.7,2.01,1.07,12.1,MF,Partial,Unfit
1317.2,1.742,2.98,10.022,76.5,1.53,1.5,11.3,MF,Partial,Fit
1098.3,1.854,3.023,9.125,62.5,1.29,1.45,11.7,GK,Not Completed,Unfit
1333.9,2.019,2.646,9.115,38.8,2.26,1.29,9.4,DF,Partial,Unfit
1069.2,1.719,2.937,,56.4,2.03,1.36,9.2,DF,Completed,Fit
1229.8,1.757,2.758,10.08,55.9,1.73,1.55,13.3,MF,Not Completed,Fit
1699.2,1.661,2.704,9.967,39.5,1.28,1.4,10.3,FW,Partial,Unfit
1262.8,1.959,2.88,10.119,36.8,1.61,1.47,13.2,GK,Completed,Unfit
1247,1.725,2.901,10.651,48.4,1.79,1.37,12.1,MF,Completed,Unfit
953.3,1.96,2.721,9.336,61,1.81,1.56,7.6,GK,Completed,Unfit
1342.3,1.592,2.781,8.924,55.6,1.41,1.55,10.2,FW,Not Completed,Fit
1378.5,1.597,2.781,9.213,58.5,2.03,1.58,13,MF,Partial,Fit
1217.5,1.734,2.904,9.929,52.3,1.73,1.51,7.6,GK,Partial,Fit
953.3,1.709,3.057,9.057,55.8,1.74,0.96,9.2,FW,Completed,Unfit
1416.2,1.751,2.92,9.051,58.6,1.46,1.55,7.8,DF,Partial,Fit
